| distrType         | samp1 | samp2 |  es | variance | mean(Method1) | mean(Method2) | pVal(Method1, Method2) | typeI | pVal(Method1, Method2)Uncorrected |   sig | sigUncorrected |
| normalPlatykurtic |    10 |    30 | 0,8 |        1 |         0,451 |         0,525 |   1,64216450169652e-30 | FALSE |              5,70196007533513e-33 |  TRUE |          FALSE |
| normalGamma       |    10 |    30 | 0,8 |        1 |         0,542 |         0,690 |   8,53997203086146e-63 | FALSE |              2,96526806627134e-65 |  TRUE |          FALSE |
| normal            |    15 |    30 | 0,8 |        1 |         0,647 |         0,689 |   5,32070502589632e-15 | FALSE |              1,84746702288067e-17 |  TRUE |          FALSE |
| normalSkewed      |    15 |    30 | 0,8 |        1 |         0,640 |         0,691 |    8,9098500821275e-19 | FALSE |              3,09369794518316e-21 |  TRUE |          FALSE |
| normalPlatykurtic |    15 |    30 | 0,8 |        1 |         0,625 |         0,675 |   8,04789763378354e-20 | FALSE |              2,79440890061929e-22 |  TRUE |          FALSE |
| normalGamma       |    15 |    30 | 0,8 |        1 |         0,687 |         0,790 |   8,04114078805327e-44 | FALSE |              2,79206277362961e-46 |  TRUE |          FALSE |
| normal            |    30 |    30 | 0,8 |        1 |         0,842 |         0,866 |   3,19446110495929e-07 | FALSE |              1,10918788366642e-09 |  TRUE |          FALSE |
| normalSkewed      |    30 |    30 | 0,8 |        1 |         0,838 |         0,858 |   4,24158408788284e-06 | FALSE |               1,4727722527371e-08 |  TRUE |          FALSE |
| normalPlatykurtic |    30 |    30 | 0,8 |        1 |         0,834 |         0,860 |   4,49920979011358e-09 | FALSE |              1,56222562156721e-11 |  TRUE |          FALSE |
| normalGamma       |    30 |    30 | 0,8 |        1 |         0,832 |         0,897 |   1,94567185310293e-27 | FALSE |               6,7558050454963e-30 |  TRUE |          FALSE |
| normal            |    10 |    10 |   0 |        4 |         0,022 |         0,046 |   3,36966137771508e-09 |  TRUE |              1,17002131170662e-11 |  TRUE |          FALSE |
| normalSkewed      |    10 |    10 |   0 |        4 |         0,026 |         0,048 |   2,59829937168399e-08 |  TRUE |              9,02187281834718e-11 |  TRUE |          FALSE |
| normalPlatykurtic |    10 |    10 |   0 |        4 |         0,033 |         0,057 |   5,61327049761677e-09 |  TRUE |              1,94905225611693e-11 |  TRUE |          FALSE |
| normalGamma       |    10 |    10 |   0 |        4 |         0,028 |         0,051 |   3,41174976672407e-08 |  TRUE |              1,18463533566808e-10 |  TRUE |          FALSE |
| normal            |    15 |    10 |   0 |        4 |         0,031 |         0,048 |   2,48720229290608e-05 |  TRUE |              8,63611907259057e-08 |  TRUE |          FALSE |
| normalSkewed      |    15 |    10 |   0 |        4 |         0,035 |         0,050 |   5,08855807350098e-05 |  TRUE |              1,76686044218784e-07 |  TRUE |          FALSE |
| normalPlatykurtic |    15 |    10 |   0 |        4 |         0,033 |         0,049 |   1,22440158957574e-05 |  TRUE |              4,25139440824911e-08 |  TRUE |          FALSE |
| normalGamma       |    15 |    10 |   0 |        4 |         0,039 |         0,051 |     0,0137821938462067 |  TRUE |              4,78548397437734e-05 |  TRUE |          FALSE |
| normal            |    30 |    10 |   0 |        4 |         0,039 |         0,059 |   5,09097550552367e-07 |  TRUE |              1,76769982830683e-09 |  TRUE |          FALSE |
| normalSkewed      |    30 |    10 |   0 |        4 |         0,040 |         0,056 |   1,22440158957574e-05 |  TRUE |              4,25139440824911e-08 |  TRUE |          FALSE |
| normalPlatykurtic |    30 |    10 |   0 |        4 |         0,038 |         0,050 |    0,00186113807494666 |  TRUE |              6,46228498245369e-06 |  TRUE |          FALSE |
| normalGamma       |    30 |    10 |   0 |        4 |         0,041 |         0,052 |     0,0126778720636477 |  TRUE |               4,4020389109888e-05 |  TRUE |          FALSE |
| normal            |    10 |    15 |   0 |        4 |         0,029 |         0,044 |   3,43421765407203e-05 |  TRUE |              1,19243668544168e-07 |  TRUE |          FALSE |
| normalSkewed      |    10 |    15 |   0 |        4 |         0,037 |         0,057 |   1,96828706843091e-06 |  TRUE |              6,83433009871843e-09 |  TRUE |          FALSE |
| normalPlatykurtic |    10 |    15 |   0 |        4 |         0,027 |         0,045 |   2,35714077153885e-06 |  TRUE |              8,18451656784323e-09 |  TRUE |          FALSE |
| normalGamma       |    10 |    15 |   0 |        4 |         0,036 |         0,047 |     0,0859084551769009 |  TRUE |              0,000298293247142017 |  TRUE |          FALSE |
| normal            |    15 |    15 |   0 |        4 |         0,034 |         0,050 |   0,000114015074859534 |  TRUE |              3,95885676595603e-07 |  TRUE |          FALSE |
| normalSkewed      |    15 |    15 |   0 |        4 |         0,032 |         0,044 |   0,000456957015537943 |  TRUE |              1,58665630395119e-06 |  TRUE |          FALSE |
| normalPlatykurtic |    15 |    15 |   0 |        4 |         0,040 |         0,052 |    0,00239718418538594 |  TRUE |              8,32355619925673e-06 |  TRUE |          FALSE |
| normalGamma       |    15 |    15 |   0 |        4 |         0,046 |         0,053 |                      1 |  TRUE |                0,0176220909623244 |  TRUE |          FALSE |
| normal            |    30 |    15 |   0 |        4 |         0,047 |         0,056 |      0,395791452239529 |  TRUE |                0,0013742758758317 |  TRUE |          FALSE |
| normalSkewed      |    30 |    15 |   0 |        4 |         0,042 |         0,053 |     0,0109856960142137 |  TRUE |               3,8144777827131e-05 |  TRUE |          FALSE |
| normalPlatykurtic |    30 |    15 |   0 |        4 |         0,039 |         0,046 |                      1 |  TRUE |               0,00796348920654999 |  TRUE |          FALSE |
| normalGamma       |    30 |    15 |   0 |        4 |         0,053 |         0,058 |                      1 |  TRUE |                 0,176296374440511 | FALSE |          FALSE |
| normal            |    10 |    30 |   0 |        4 |         0,035 |         0,048 |    0,00111156953383539 |  TRUE |              3,85961643692845e-06 |  TRUE |          FALSE |
